Time,UUID,LocalName,RSSI,MedianRSSI
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-58,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-58,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-58,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-58,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-58,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-58,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-58,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-58,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-58,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-58,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-59,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-49,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-49,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-49,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-59,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-50,-50
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-58,-50
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-59,-50
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-49,-50
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-60,-58
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-60,-59
2014-09-19T14:28:06+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-50,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-50,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-50,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-50,-50
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-60,-50
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-60,-50
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-59,-50
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-58,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-59,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-50,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-50,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-50,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-60,-59
2014-09-19T14:28:07+02:00,69c40a6102c6,0,-60,-59
2014-09-19T14:28:08+02:00,69c40a6102c6,0,-59,-59
